,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2020-05-28 23:04:06+00:00,1266143237477023744,"See what is this very important news
https://t.co/kJ3iTH4SIL
Pls check
#instagram
#Trump #IndianArmy #COVID19 #coronavirus #COVID #UnitedNotDivided #FakeNewsMedia #PoojaHegde #QAnon #QuemMandouMatarBolsonaro #TheBachelorSA #YOONGICULT #YouthWithYou #YoMeQuedoEnCasa #uzmankhan https://t.co/4eecSZbroW",India,,0,0,"['instagram', 'Trump', 'IndianArmy', 'COVID19', 'coronavirus', 'COVID', 'UnitedNotDivided', 'FakeNewsMedia', 'PoojaHegde', 'QAnon', 'QuemMandouMatarBolsonaro', 'TheBachelorSA', 'YOONGICULT', 'YouthWithYou', 'YoMeQuedoEnCasa', 'uzmankhan']",42,False
1,2020-05-28 21:44:55+00:00,1266123311580250112,Government is gearing up its efforts to fight against the #COVID-19 pandemic. #IndiaFightsCorona https://t.co/CSMjsL6t0D https://t.co/t5VPl7NmHp,Pathanamthitta,,0,0,"['COVID', 'IndiaFightsCorona']",287,False
2,2020-05-28 20:28:46+00:00,1266104147365040132,Response of #Covid 19 by a silent Government : https://t.co/y7reRfhWew,"Cologne, Germany",,0,1,['Covid'],106,False
3,2020-05-28 19:34:16+00:00,1266090430279454720,It's very important to take cognizance of border sealing drive by U.P. and Haryana for Delhiites since Delhi NCR is very strongly connected in every aspect and incomplete without each other.#Haryana #SupremeCourtofIndia #Narendermodi #UttarPradesh #HighCourt #AmitShah #MHA #COVID,"मालवीय नगर, नई दिल्ली",,0,1,"['Haryana', 'SupremeCourtofIndia', 'Narendermodi', 'UttarPradesh', 'HighCourt', 'AmitShah', 'MHA', 'COVID']",12,False
4,2020-05-28 17:43:31+00:00,1266062558978596866,"❓Where does my food come from?
❓What did my #precovid supply chains look like?
❓How have I been buying during #COVID?
❓How do I envision my sustainable foodways?

Don't forget to sign-up for the Meet-up.
https://t.co/NI1lkL54GT https://t.co/JeaRI2InFp",Bangalore,,1,1,"['precovid', 'COVID']",250,False
5,2020-05-28 17:18:20+00:00,1266056223872503809,"Just In: India allows export of paracetamol API
#COVID https://t.co/xPobi15eAq","नई दिल्ली, भारत",,0,0,['COVID'],152,False
6,2020-05-28 17:05:40+00:00,1266053037434589186,"BJP national spokesperson ""Sambit Patra"" has been admitted to a private hospital in Gurgaon after he showed symptoms of COVID-19, sources said.

Sambit Patra is one of the most visible ""BJP"" faces on news channels.

#SambitPatra 
#GetwellSoonSambit 
#COVID","New Delhi, India",,0,1,"['SambitPatra', 'GetwellSoonSambit', 'COVID']",28,False
7,2020-05-28 16:43:26+00:00,1266047442547400704,"Meme of the Day

#starwars #starwarsmeme #darthvader #leiaorgana #meme #memeoftheday #covid #coronavirus #rebel #rebelofficer #galacticempire #imperialofficer #stormtrooper https://t.co/l0si2AjzRf","Hanuman Nagar, Nagpur",,0,1,"['starwars', 'starwarsmeme', 'darthvader', 'leiaorgana', 'meme', 'memeoftheday', 'covid', 'coronavirus', 'rebel', 'rebelofficer', 'galacticempire', 'imperialofficer', 'stormtrooper']",167,False
8,2020-05-28 15:43:31+00:00,1266032361000427521,My uncle Jagdish at lev1 covid19 hospital. A Big salute to all frontline warriors fighting of #COVID! It takes a lot of sacrifice #StayAtHome @dmdeoria @ZeeNewsEnglish @ndtv @myogiadityanath @CMOfficeUP https://t.co/hoObnLbxkK,"Chennai, India",,0,0,"['COVID', 'StayAtHome']",5,False
9,2020-05-28 15:33:08+00:00,1266029750008582146,"Just In: India allows export of paracetamol API
#COVID https://t.co/VXgjZXAtzB","New Delhi, India",,14,58,['COVID'],79468,False
10,2020-05-28 15:26:28+00:00,1266028070575779842,"@sambitswaraj get well soon sir😥😥

#BJPSandeep
#SandeepPatra
#Sadeep #patra
#covid
#GetWellSoon
@sambitswaraj https://t.co/BcLtRtT0z3","उत्तर प्रदेश, भारत",,0,0,"['BJPSandeep', 'SandeepPatra', 'Sadeep', 'patra', 'covid', 'GetWellSoon']",1,False
11,2020-05-28 15:18:32+00:00,1266026075156443139,"Breaking: #Bengal reports highest single day spike in cases, 344 fresh #Covid cases reported in 24 hrs 

Total cases - 4536 (2573 active)
#Kolkata alone has 1900 cases (919 active)

Total deaths - 295

9256 samples tested in 24 hrs https://t.co/NsjUkVXR54","কলকাতা, India",,4,12,"['Bengal', 'Covid', 'Kolkata']",10513,True
12,2020-05-28 14:46:48+00:00,1266018089491202048,"“WEAR A MASK, ITS AS EASY AS WEARING A SMILE”-Allen Solly
@allensolly 
@CanonUSAimaging @CanonUSApro 
📷 : @rasna503 #selfportrait 

IG: https://t.co/zo0LCTuJWL

#StayHome #allensolly #mask #covid #COVID19India #Lockdown5 #StaySafe #StayHomeStaySafe #Quarantine  #photography https://t.co/Pw0WNuK48N","Kerala, India",,0,0,"['selfportrait', 'StayHome', 'allensolly', 'mask', 'covid', 'COVID19India', 'Lockdown5', 'StaySafe', 'StayHomeStaySafe', 'Quarantine', 'photography']",11,False
13,2020-05-28 14:46:23+00:00,1266017985464057858,"#Covid-19 update JK 

93 new cases today in JK. Total Cornavirus positive cases reached 2036. https://t.co/0H2pdTc2So",Srinagar Kashmir,,0,0,['Covid'],1375,False
14,2020-05-28 14:26:37+00:00,1266013008783912966,"Source: WhatsApp forward.  #EBITDAC 
This should settle the difference between winners and loser in the market
#EBITDA
#nifty50 
#Covid-19 
#Coronavirus https://t.co/QtnswbBcVP",,,0,0,"['EBITDAC', 'EBITDA', 'nifty50', 'Covid', 'Coronavirus']",539,False
