,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2020-05-09 22:06:57+00:00,1259243486777413634,"we at #ggeducationalgroups Introducing *NEET ONLINE CLASS* to upcoming doctors of the Nation.
Admissions are open,  https://t.co/vyvcEnPjNt

#Valimai #Master #हमारा_POK_वापस_करो #chennai #covid #neet #jee #jeeadvanced #neetug #neet2020 #onlineclass #onlinecoaching #neetonline https://t.co/K8WemEN2N0",arakkonam,,3,2,"['ggeducationalgroups', 'Valimai', 'Master', 'हमारा_POK_वापस_करो', 'chennai', 'covid', 'neet', 'jee', 'jeeadvanced', 'neetug', 'neet2020', 'onlineclass', 'onlinecoaching', 'neetonline']",27,False
1,2020-05-09 22:05:25+00:00,1259243098762358784,"we at #ggeducationalgroups Introducing *NEET ONLINE CLASS* to upcoming doctors of the Nation.
Admissions are open, https://t.co/kr408FncNb

#Valimai #Master #हमारा_POK_वापस_करो #chennai #covid #neet #jee #jeeadvanced #neetug #neet2020 #onlineclass #onlinecoaching #neetonline https://t.co/1cJ08LyYzf","Tamil Nadu, India",,3,0,"['ggeducationalgroups', 'Valimai', 'Master', 'हमारा_POK_वापस_करो', 'chennai', 'covid', 'neet', 'jee', 'jeeadvanced', 'neetug', 'neet2020', 'onlineclass', 'onlinecoaching', 'neetonline']",41,False
2,2020-05-09 21:50:14+00:00,1259239277788979200,#coronavirus #COVID #food #donatios feeding needy people since #lockdows day 1 https://t.co/rFWU3iCZK4,"Lucknow, India",,1,3,"['coronavirus', 'COVID', 'food', 'donatios', 'lockdows']",146,False
3,2020-05-09 21:08:57+00:00,1259228891140497409,@i_m_kahn Yes bhai make du'a for all Ummah in this #Ashra_e_Maghfirat May Allah protect us all from this Pandemic #COVID-19 &amp; forgive our sins,"Mumbai, India",,0,3,"['Ashra_e_Maghfirat', 'COVID']",1029,False
4,2020-05-09 20:12:41+00:00,1259214728938713094,"#Coronavirus #India Updates: Total #Covid_19 Cases At 62,000, Death Toll At 2100.

#COVID
#COVID19 #COVIDー19 #CoronaVirusUpdates","Colombo, Sri Lanka  ",,0,1,"['Coronavirus', 'India', 'Covid_19', 'COVID', 'COVID19', 'COVIDー19', 'CoronaVirusUpdates']",1301,False
5,2020-05-09 20:12:11+00:00,1259214605844459526,"@Chaitan10596230 @TheTweetOfGod Yes, tell us what is this step fatherly treatment 🤷🏻‍♀ @TheTweetOfGod @neeleshmisra @kamaalrkhan @DimpleAtra @SarcasticTakes @iamsrk @sonalkalra @elonmusk @AuthorsInkIndia @CaucasianJames 
#Covid_19 #earthquake #COVID #Quarantine #GodBless",India,,0,0,"['Covid_19', 'earthquake', 'COVID', 'Quarantine', 'GodBless']",1624,False
6,2020-05-09 19:33:53+00:00,1259204964204687360,Three children have died in New York from an inflammatory syndrome possibly related to #COVID-19  https://t.co/TvYSmhk203,"New Delhi, Globetrotter",,0,0,['COVID'],10762,False
7,2020-05-09 19:14:17+00:00,1259200031887962114,"From laughing with us on our best days and sticking with us on our worst, a mother’s love knows no bounds. Wishing you a #HappyMothersDay2020!
#shoutitsocial #digitalart #coronavirus #COVID #Advertising #branding #creativity #mothers #bestofme #Mumbai https://t.co/bCIlMkLYkr",Goregaon,,1,1,"['HappyMothersDay2020', 'shoutitsocial', 'digitalart', 'coronavirus', 'COVID', 'Advertising', 'branding', 'creativity', 'mothers', 'bestofme', 'Mumbai']",18,False
8,2020-05-09 19:13:50+00:00,1259199921162510336,"From laughing with us on our best days and sticking with us on our worst, a mother’s love knows no bounds. Wishing you a #HappyMothersDay2020!
#shoutitsocial #digitalart #coronavirus #COVID #Advertising #branding #creativity #mothers #bestofme #Mumbai https://t.co/gB2OQviaVR",Goregaon,,0,1,"['HappyMothersDay2020', 'shoutitsocial', 'digitalart', 'coronavirus', 'COVID', 'Advertising', 'branding', 'creativity', 'mothers', 'bestofme', 'Mumbai']",18,False
9,2020-05-09 18:43:35+00:00,1259192309272309760,@DrKumarVishwas The pandemic #covid -19 is soon going to blast (to break silence) with high rate of mortality &amp; soon we will be in top 5 counters worst affected seeing the measures taken by govt.,,,0,0,['covid'],3,False
10,2020-05-09 18:42:42+00:00,1259192087100129280,71% approval rating of PM @NarendraModi Ji's handling of #COVID crisis. https://t.co/uyrJs81hKV,"Bihar, भारत",,1,2,['COVID'],823,False
11,2020-05-09 18:34:11+00:00,1259189944008007685,"Gods  own country🤲
@vijayanpinarayi  #covid https://t.co/t5MDl5DYlZ",Kerala,,0,0,['covid'],12,False
12,2020-05-09 18:31:00+00:00,1259189139729088513,"The other 2 Lakh #Killer #Healthcare program that #covidiots destroyed in #kneejerk mismanagement of #covid. #Tuberculosis #India
 #TB programs, trials pause as COVID-19 spreads https://t.co/zrt0ycguq0 @narendramodi @PMOIndia @NITIAayog @MoHFW_INDIA @ICMRDELHI @WHO @WHOSEARO",,,0,0,"['Killer', 'Healthcare', 'covidiots', 'kneejerk', 'covid', 'Tuberculosis', 'India', 'TB']",711,False
13,2020-05-09 18:17:49+00:00,1259185823565709315,Stay home stay safe .... #mumbailockdown  #MumbaiPolice #COVID https://t.co/sk5Y6nppJk,"Mumbai, India",,0,2,"['mumbailockdown', 'MumbaiPolice', 'COVID']",8,False
14,2020-05-09 18:12:40+00:00,1259184528469274624,"KB Training 
. 
16kg #Kettlebell

#StayHomeStaySafe

#Staysafe 🙏

#survivor2020 #workout #Kannada #KannadaNews #Karnataka #India #COVID19Pandemic #COVID2019 #COVID #COVID19Bangalore #fitness #AarogyaSetuApp
.
#homeworkout
.
Music Credits - YouTube Library https://t.co/ADZwpk63Ym","Bengaluru, India",,0,2,"['Kettlebell', 'StayHomeStaySafe', 'Staysafe', 'survivor2020', 'workout', 'Kannada', 'KannadaNews', 'Karnataka', 'India', 'COVID19Pandemic', 'COVID2019', 'COVID', 'COVID19Bangalore', 'fitness', 'AarogyaSetuApp', 'homeworkout']",1095,False
15,2020-05-09 18:08:45+00:00,1259183540937375746,"London-Mumbai repatriation flight at London airport earlier today.

Break Up of Passengers: 
4 First Class
30 Business Class
292 Economy class
#COVID https://t.co/0TfMUs3WXE https://t.co/RTvl1g4dvd","नई दिल्ली, भारत",,0,0,['COVID'],152,False
16,2020-05-09 18:08:35+00:00,1259183501577990144,"Watch: First flight of repatriated Indians leaves from London to Mumbai. It is carrying total of 326 passengers.
#COVID https://t.co/AsHhAnoLTP","नई दिल्ली, भारत",,0,0,['COVID'],152,False
17,2020-05-09 18:08:22+00:00,1259183445227515906,"Watch: Western Fleet Ships meeting INS Jalashwa on the high seas as it moves towards Indian shores with repatriated Indian nationals.
#COVID https://t.co/DfSNajhGaj","नई दिल्ली, भारत",,0,0,['COVID'],152,False
18,2020-05-09 18:07:17+00:00,1259183171830190082,"London's heathrow airport as Indians get ready to be repatriated back.  The flight lands in Mumbai at 1.30 am tomm.
#COVID https://t.co/FSz2vabfrw","नई दिल्ली, भारत",,0,0,['COVID'],152,False
19,2020-05-09 18:04:09+00:00,1259182385641304066,"Unite and defeat. Fight against diseases not humanity.
solidaritynotstigma #covid #solidaritynotsitgma #who @ Mumbai, Maharashtra https://t.co/KyyEtNGozM","Mumbai, India",,0,0,"['covid', 'solidaritynotsitgma', 'who']",98,False
20,2020-05-09 17:57:54+00:00,1259180812995616768,Easing #LockDown in Pakistan at this time is more of an emotional decision than Scientific. Science would never allow easing lock down When #COVID curve  is peaking. Public must practice all preventive measures to save their loved ones. #StayHome #StaySafe.,Pehawar-Bajaur KPK Pakistan. ,,1,6,"['LockDown', 'COVID', 'StayHome', 'StaySafe']",751,False
21,2020-05-09 17:51:22+00:00,1259179167737921537,#CoronaPandemic A 41-year-old man who’s suffering from both high BP and pneumonia has become the second #COVID-19 patient to recover from a serious condition in the past few days at Aundh Civil Hospital.,India,,1,1,"['CoronaPandemic', 'COVID']",72,False
