,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2021-08-02 23:43:15+00:00,1422342262822899713,"More clues coming up! The US military got infected with #COVID-19 in #FortDetrick. And they brought the virus to Europe through #ASBP in 2019, leading to the huge outbreak in Europe afterwards.
@SpicyPandaAcc @POTUS @WhiteHouse
￼ ￼",重庆,,0,1,"['COVID', 'FortDetrick', 'ASBP']",54,False
1,2021-08-02 23:41:54+00:00,1422341921222008835,"The US is building a wall in the middle of Atlantic. American #travel restriction towards #Europe will surely undermine the credibility of its professed commitment to repairing relations with Europe.
#COVID-19 #TravelBan @POTUS @SpicyPandaAcc https://t.co/2gT6PwMPaf",重庆,,0,2,"['travel', 'Europe', 'COVID', 'TravelBan']",54,False
2,2021-08-02 20:45:09+00:00,1422297440552620032,"Night Curfew To Start at 9 P.M. Across Morocco 🇲🇦 Starting Tuesday
#Morocco #Maroc #المغرب #Africa #NorthAfrica #COVID #COVID19 #pandemic #curfew #Casablanca #Agadir #Marrakech  https://t.co/KT8EspWDBq","Abu Dhabi, United Arab Emirate",,0,0,"['Morocco', 'Maroc', 'المغرب', 'Africa', 'NorthAfrica', 'COVID', 'COVID19', 'pandemic', 'curfew', 'Casablanca', 'Agadir', 'Marrakech']",373,False
3,2021-08-02 20:33:53+00:00,1422294606402703363,"Morocco 🇲🇦 wins vaccine supply battle 💉💉💉 
#Morocco #Maroc #المغرب #Africa #NorthAfrica #COVID #COVID19 #pandemic #vaccination #vaccines #AstraZeneca #Sinopharm #JohnsonAndJohnsonVaccine https://t.co/nvpmThg4Ak","Abu Dhabi, United Arab Emirate",,0,0,"['Morocco', 'Maroc', 'المغرب', 'Africa', 'NorthAfrica', 'COVID', 'COVID19', 'pandemic', 'vaccination', 'vaccines', 'AstraZeneca', 'Sinopharm', 'JohnsonAndJohnsonVaccine']",373,False
4,2021-08-02 18:39:16+00:00,1422265761943343118,"Flight/passenger movement at #AAI #Imphal Airport on 02.08.2021

Total 20 #flight movements:
No. of #arrivals-10
No. of #departures-10
No. of ARR pax-862
No. of DEP pax-1171
All #covid protocols &amp; safety precautions are in place during flight operations.@aairedner @AAI_Official https://t.co/0ptpbiOwrP","Imphal, India",,1,6,"['AAI', 'Imphal', 'flight', 'arrivals', 'departures', 'covid']",692,True
5,2021-08-02 16:37:15+00:00,1422235055494111236,"BMC eases #lockdown restrictions in #Mumbai, allows all shops to stay open till 10: 00 pm, dining in restaurants allowed till 4:00 pm. All indoor &amp; outdoor games allowed, except swimming pool &amp; other games where social distancing not possible. #COVID19 #Corona #Covid #coronavirus https://t.co/UqJe0tIkNb",Mumbai,,4,11,"['lockdown', 'Mumbai', 'COVID19', 'Corona', 'Covid', 'coronavirus']",6155,False
6,2021-08-02 16:21:31+00:00,1422231093734875136,"Third wave of #COVID19 to hit India this month, peak in October: Report
#CovidIsNotOver #COVID

https://t.co/J7gaUwziCF",,,3,6,"['COVID19', 'CovidIsNotOver', 'COVID']",9318,True
7,2021-08-02 16:06:25+00:00,1422227295729700867,"Let there be light for everyone🤝

#charity #nonprofit #donate #love #community #covid #fundraising #support #help #volunteer #giveback #donation #fundraiser #education #ngo #dogood #hope #socialgood #children #donations #philanthropy #change #givingback #family #life #art #bhfyp https://t.co/UDEcrmL9Yw",,,5,5,"['charity', 'nonprofit', 'donate', 'love', 'community', 'covid', 'fundraising', 'support', 'help', 'volunteer', 'giveback', 'donation', 'fundraiser', 'education', 'ngo', 'dogood', 'hope', 'socialgood', 'children', 'donations', 'philanthropy', 'change', 'givingback', 'family', 'life', 'art', 'bhfyp']",14,False
8,2021-08-02 16:02:58+00:00,1422226428502765568,"#Relaxations  in #Covid restrictions announced in #Maharashtra barring 14 districts including Mumbai and Thane. 

For #Mumbai (city &amp; suburbs) and #Thane, local authorities to decide on relaxations. 

Theatres, cinemas to stay shut. All eyes on decision on  #LocalTrain services.","Mumbai, India",,2,10,"['Relaxations', 'Covid', 'Maharashtra', 'Mumbai', 'Thane', 'LocalTrain']",11432,True
9,2021-08-02 15:23:18+00:00,1422216442770968577,"Four unit CAD CAM crowns are ready to get inserted inside patient’s mouth at @JKDENTALORTHO by our skilled clinicians @keval_r_patel .
Visit us for your one step dental solutions.
#Trending #TrendingNow #covid #vaccine #doctor #dentist #Ahmedabad #chandkheda https://t.co/lMtgHj0fei",India,,1,4,"['Trending', 'TrendingNow', 'covid', 'vaccine', 'doctor', 'dentist', 'Ahmedabad', 'chandkheda']",160,False
