,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2021-02-07 22:40:24+00:00,1358546181224206337,https://t.co/OpzYtWH6dg #Airfunding #COVID-19 relief via @Airfunding,"Silom Soi 4, Bangkok, TH",,6,4,"['Airfunding', 'COVID']",476,False
1,2021-02-07 17:09:32+00:00,1358462914332557312,"HEX Disco Pub at Sharyans bld 6th Flr, Veera Desai Rd Andheri West.
Flouting #Covid-19 norms, operating illegaly till late night 4am, with the support of Amboli #Police Stn.
Operate without Discotheque Premises Licence, under age, immoral activity
@CMOMaharashtra 
@MumbaiPolice https://t.co/l2Js4mbwUb","Mumbai, India",,1,9,"['Covid', 'Police']",42,False
2,2021-02-07 15:29:01+00:00,1358437618107576320,"Since, the media is done with #FarmersProtests, can we take new #COVID cases seriously? #CoronaIsNotAJoke #COVIDIOTS #WearAMask #SocialDistancing #StaySafe #COVIDSecondWave #MaharashtraCovidCases #KeralaCovidCases @CMOKerala @CMOMaharashtra @MoHFW_INDIA @PMOIndia @HMOIndia","Noida, India",,0,0,"['FarmersProtests', 'COVID', 'CoronaIsNotAJoke', 'COVIDIOTS', 'WearAMask', 'SocialDistancing', 'StaySafe', 'COVIDSecondWave', 'MaharashtraCovidCases', 'KeralaCovidCases']",83,False
3,2021-02-07 15:17:53+00:00,1358434815721099264,"My friend vaccinated for #COVIDー19 and experienced fever, joint pain ( a concern ) for a couple of days. Now he is perfectly safe and ok.
Fever happens due to antigen and antibodies interactions, nothing to worry. 
Even he experienced diarrhea too ! (Note)#COVID 
#CovidVaccine","Warangal,Telangana   ",,1,2,"['COVIDー19', 'COVID', 'CovidVaccine']",1363,False
4,2021-02-07 14:43:57+00:00,1358426275220770822,"@ChuckECheese @ChuckECheeseUAE 

""Stay safe but have fun same time""

#Covid #StaySafe #Haniya #Haniyasaad #Haniya_saad https://t.co/EP5G2MLYX2",,,0,0,"['Covid', 'StaySafe', 'Haniya', 'Haniyasaad', 'Haniya_saad']",3,False
5,2021-02-07 14:21:44+00:00,1358420686893580288,"Just got told off by @BestPriceWMT delivery guy when I requested him to wear a mask. '#Covid is a rumour, why you wear mask?' he asks. My mask covered the exasperation on my face. A year of pandemic, yet here we are! #FacePalm #COVIDIOTS @walmartindia Responsibility?",India,,1,1,"['Covid', 'FacePalm', 'COVIDIOTS']",599,False
6,2021-02-07 13:12:33+00:00,1358403275284955145,"After nipping along towards #AbuDhabi for my second #Covid vaccine 💉 jab, I treated myself to a little sunshine ☀️ at this spot this weekend. I must be the safest mo-fo around #Dubai right now. https://t.co/a3xasrCgq0","Dubai, United Arab Emirates",,0,0,"['AbuDhabi', 'Covid', 'Dubai']",4707,False
7,2021-02-07 12:13:36+00:00,1358388440199360521,"Unfortunate to see @narendramodi ji giving false statements maligning Bengal.Only 1000/- in budget for many RailwayProjects in WB.Didn't extend adequate support to fight #covid/ #umphan,but falsly alleged @MamataOfficial ji who only saved us. 
#BengalRejectsBJP,the #GarbageOfLies","Kolkata, India",,45,61,"['covid', 'umphan', 'BengalRejectsBJP', 'GarbageOfLies']",5042,True
8,2021-02-07 09:27:44+00:00,1358346699412893699,"Hon’ble Supreme Court of India 🇮🇳 has heard highest number of cases in the world during the #covid pandemic!
Kudos to our judicial system for providing recourse to people even during these tough times. https://t.co/q80XvjnsNC",New Delhi /India,,1,4,['covid'],23476,True
9,2021-02-07 02:12:14+00:00,1358237102828253186,It would be better if @PawarSpeaks and Left should have worked to handle #covid situation in #Maharashtra and #kerla respectively. These two statt has 70% of active #COVID19 cases.,"Sector 2, Greater Noida West",,0,1,"['covid', 'Maharashtra', 'kerla', 'COVID19']",232,False
10,2021-02-07 01:05:18+00:00,1358220259338067968,Kerala is the most overrated state. Change my mind #SundayThoughts #Covid #Kerala #Assam #FakeMedia #propaganda #BJP #leftist_ecosystem https://t.co/BBHq0yGsAm,"Bengaluru, India",,0,0,"['SundayThoughts', 'Covid', 'Kerala', 'Assam', 'FakeMedia', 'propaganda', 'BJP', 'leftist_ecosystem']",47,False
11,2021-02-07 23:57:10+00:00,1358565500222078978,For the first time in 14 years I’m actually watching the SuperBowl in my theater room. This might also be the first time I’ve watched the game in a long time. #NoEpicSuperBowlParty #COVID,"Marion, IA",,0,5,"['NoEpicSuperBowlParty', 'COVID']",314,False
12,2021-02-07 23:52:57+00:00,1358564435787452424,Is baked feta pasta the banana bread of  The Rona Quarantine 2.0? 🤣🤣 #QuarantineRound2 #Covid #QuarantineQuitchen #theRona,,,0,0,"['QuarantineRound2', 'Covid', 'QuarantineQuitchen', 'theRona']",10,False
13,2021-02-07 23:37:14+00:00,1358560481552732160,We can't have a Super Bowl party but they can have 20 thousand people yelling and cheering at the game? #ThatsABigParty #COVIDー19 #Covid #SuperBowlLV #DontSpread #HonorTheHeroes #SocialDistance #WTH #RulesDontMatterInFlorida,San Jose,,0,5,"['ThatsABigParty', 'COVIDー19', 'Covid', 'SuperBowlLV', 'DontSpread', 'HonorTheHeroes', 'SocialDistance', 'WTH', 'RulesDontMatterInFlorida']",4323,False
14,2021-02-07 23:33:13+00:00,1358559473196015617,Is it because they are just going to fill the #superbowlads with #covid commercials? That makes it ok? 🤷‍♀️ cool. Cool.,"Massachusetts, USA",,0,0,"['superbowlads', 'covid']",179,False
15,2021-02-07 23:28:11+00:00,1358558205526351872,There are too many people at this football game.  Have people read the news lately? #COVID,"Louisville, KY",,0,0,['COVID'],42,False
16,2021-02-07 23:19:27+00:00,1358556005156741121,A lot of Americans said give me fun or give me death! 😂😂😂 #covid #SuperBowl,"Milwaukee, WI",,0,1,"['covid', 'SuperBowl']",218,False
17,2021-02-07 23:16:56+00:00,1358555375176351744,Just think of all the #COVID blowing around the #SuperBowl stadium today with all the screaming droplets sick shedding virus in the air...,"Denver, CO",,0,0,"['COVID', 'SuperBowl']",762,False
18,2021-02-07 23:16:12+00:00,1358555190295597057,Nice to see the sold out Super Bowl. #covid #murica,"Red Deer, Alberta",,0,2,"['covid', 'murica']",657,False
19,2021-02-07 23:03:47+00:00,1358552065346330624,My server at a restaurant in Miami literally just told me I don’t need to wear a mask because there are no #Covid cases in Florida 🤔🤔🤔,"London, England",,0,5,['Covid'],5502,False
