,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2021-05-04 23:18:16+00:00,1389721063945244673,"#BBMP, we need bed C+
Earlier: 40 K
Now: A steep rise in cases in #Bengaluru has resulted in increased hospitalisation of #Covid patients. We seek your support as we aim to upgrade the public health infrastructure &amp; manage them. Immensely grateful for your support in this effort","Bengaluru South, India",,1,2,"['BBMP', 'Bengaluru', 'Covid']",6197,False
1,2021-05-04 23:10:57+00:00,1389719223195238400,"Exporting vaccines when not even 1% of Indians were vaccinated

Carrying out super-spreader rallies when #covid cases were increasing

Not arranging oxygen for weeks when people are dying.

Spending Rs 20,000 cr on Central Vista project

This is #ModisCrimeAgainstIndia https://t.co/mKD5BZ5KVi","New Delhi, India",,0,0,"['covid', 'ModisCrimeAgainstIndia']",504,False
2,2021-05-04 22:30:44+00:00,1389709102868172801,"@BNODesk The deaths are under reported, Varanasi size town has 200-300 bodies creamted daily, imagine 100 similar towns and then cities. Tests are also being delayed from 47-72 hours. 🙏#covid","Hyderabad, INDIA",,0,5,['covid'],4187,False
3,2021-05-04 21:12:25+00:00,1389689394475388929,"@Veerthakurvt @GautamGambhir @CharuPragya @msisodia @Hemkunt_Fdn @Sribanglasahib This is the hotline number kindly contact 
#HemkuntFoundation #COVIDEmergency2021 #COVIDSecondWaveInIndia #Help #covidsos #covid #corona #covidresources https://t.co/E1wxR1iNWW",New Delhi India,,1,0,"['HemkuntFoundation', 'COVIDEmergency2021', 'COVIDSecondWaveInIndia', 'Help', 'covidsos', 'covid', 'corona', 'covidresources']",111,False
4,2021-05-04 21:10:01+00:00,1389688791569506309,Instead of designating a vaccine centre. We are asked to go to ANY vaccine centre!! And people are rushing towards nearby and it's all cramped up!! Are we trying to get Covid or its vaccination here ?? #covid #Pakistan,,,0,0,"['covid', 'Pakistan']",2,False
5,2021-05-04 20:49:53+00:00,1389683723151368200,"IN THE LAST 5 Days, 25 flights loaded with 300 tonnes of emergency #covid aid has landed in #Delhi 

But where is it being used? WHERE???? https://t.co/j0g6pv9QOe",The Pits ,,0,1,"['covid', 'Delhi']",108,False
6,2021-05-04 20:24:15+00:00,1389677270969720833,"Access to #vaccine is crucial &amp; #State govts must plan inclusive access to aged, differently abled,  pregnant women, lactating mothers etc Also they should procure other #Covid vaccines like @pfizer @sputnikvaccine etc @mayurdhar @nush_nush19 @IndusAction @AIFoundation @sujakrao","New Delhi, India",,0,1,"['vaccine', 'State', 'Covid']",183,False
7,2021-05-04 20:20:19+00:00,1389676283668303874,"India moves fastest to stock up on Covid-19 vaccines 
#CoronaVaccine
#coronavirus #Covid_19 #Covid_19Vaccine #COVID https://t.co/xKSJiuZcr9 via @indiatoday",Mumbai,,0,1,"['CoronaVaccine', 'coronavirus', 'Covid_19', 'Covid_19Vaccine', 'COVID']",758,False
8,2021-05-04 19:49:47+00:00,1389668597253902336,"Function hall goes into #COVID TREATMENT center jallpally municipality arranged at premier function hall pahadi shareef area hyderabad
https://t.co/YfWq18DBk1
@infomubashir @shafirtiactivst @RachakondaCop",malakpet,,0,0,['COVID'],45,False
9,2021-05-04 19:49:01+00:00,1389668404575965186,Why are you seeing increasing prevalence of #mucormycosis - a deadly #fungal #infection in #Covid patients recently-especially in India ? Explained here in schematic diagram made by me while explaining my medico daughter! @docanoopmisra @AskDrShashank @DrAmbrishMithal @drmohanv https://t.co/rtCo90KoWv,"Kolkata, India",,75,201,"['mucormycosis', 'fungal', 'infection', 'Covid']",4574,False
