,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2021-09-11 14:50:03+00:00,1436703591029350404,"Flight/passengers movement @aailbrairport #Lilabari #Airport on 11.09.2021

flight movement:
No. of #arrivals-01
No. of #departures-01
No. of ARR pax- 25
No. of DEP pax-23
All #covid protocols &amp; safety precautions are being followed.@aairedner @AAI_Official","Lilabari , North Lakhimpur",,0,4,"['Lilabari', 'Airport', 'arrivals', 'departures', 'covid']",1534,True
1,2021-09-11 14:34:37+00:00,1436699706902581254,"Will the developed world be able to manage #COVID the way they did #HIV and other #infectious diseases while the rest of the world will keep struggling for years to come? 
#Covid_19 : The #Endgame ?

https://t.co/15huUnbMw6",,,3,10,"['COVID', 'HIV', 'infectious', 'Covid_19', 'Endgame']",1779,False
2,2021-09-11 13:45:55+00:00,1436687453746720776,"Unvaccinated People Are 11 Times More Likely To Die Of #COVID-19, @CDCgov Finds | @AP https://t.co/aQvur6koQq","Chiang Mai, Thailand",,0,0,['COVID'],1085,False
3,2021-09-11 13:29:16+00:00,1436683261674090497,"No more than right now do we as a family lean on our #Catholic faith with prayer and hope that we come out of this madness with no more casualties.
We've lost one grandparent to old age this year and most recently his life partner to #covid. https://t.co/NCb2gslroE","Kuching, Sarawak",,0,0,"['Catholic', 'covid']",56,False
4,2021-09-11 10:27:27+00:00,1436637507622408194,Only children of poor people is not getting proper education just because of government policies in corona what about rich people they are providing education there child in centre .Is corona virus is just present in government schools 😥#LeaveOurKidsAlone #COVID https://t.co/CJrM9qfUfu,,,0,0,"['LeaveOurKidsAlone', 'COVID']",2,False
5,2021-09-11 06:14:50+00:00,1436573932371554308,"Covid screening by our trained security staff #security #securityguard #covid_19 #covid @ Delhi, India https://t.co/aJC8lBVzme",Delhi Noida,,0,0,"['security', 'securityguard', 'covid_19', 'covid']",10,False
6,2021-09-11 04:34:21+00:00,1436548647282302977,"""Every skin color is absolutely beautiful.""
 #brownskin #beautifulskin #one #equality #love #light #dark #beauty #peace #covid #black #blackexcellence https://t.co/bsuwt0wM5Z","Noida, India",,1,5,"['brownskin', 'beautifulskin', 'one', 'equality', 'love', 'light', 'dark', 'beauty', 'peace', 'covid', 'black', 'blackexcellence']",576,False
7,2021-09-11 23:44:13+00:00,1436838017436585988,"“Every single #Covid case in an ICU is #Unvaccinated.” Thats putting you and me at risk if we need Hospital care. #selfish #GetVaccinatedNow #Colwood 

Some B.C. hospitals 'close to collapse' amid surge in unvaccinated COVID-19 patients https://t.co/0Ea5RIi4Ii",City of Colwood,,1,3,"['Covid', 'Unvaccinated', 'selfish', 'GetVaccinatedNow', 'Colwood']",1079,False
8,2021-09-11 23:35:49+00:00,1436835905361391617,"This surpasses any COVID shit. Pay attention folks. This would monitor cryptocurrency as well. 
#CryptocurrencyNews #COVID #Biden #Finance https://t.co/p4ENgG2Mfu","Lake Mary, FL",,0,1,"['CryptocurrencyNews', 'COVID', 'Biden', 'Finance']",205,False
9,2021-09-11 23:33:26+00:00,1436835305919766532,My date is NOT vaccinated! 🤦‍♀️ #covid #pandemic #GetVaccinated,"New York, NY",,0,1,"['covid', 'pandemic', 'GetVaccinated']",1438,False
10,2021-09-11 23:22:47+00:00,1436832625386303490,Its sad last years heroes are this years unemployed. #COVID #NurseTwitter #appreciation,"Waynesville, NC",,0,0,"['COVID', 'NurseTwitter', 'appreciation']",914,False
11,2021-09-11 22:51:36+00:00,1436824775347822594,"COVID tests and betting on football. Better combo than PB&amp;J. 

#covid #covid_19 #football #betting #sportsbetting #collegefootball #gambling #warzone #codclips #twitch #twitchstreamer #gamer https://t.co/q4r37LmuIG",Hoboken,,0,5,"['covid', 'covid_19', 'football', 'betting', 'sportsbetting', 'collegefootball', 'gambling', 'warzone', 'codclips', 'twitch', 'twitchstreamer', 'gamer']",696,False
12,2021-09-11 22:39:32+00:00,1436821742689955842,Excellent explanation of #Israeli experience with 3rd #Pfizer dose in &gt;60 population #Covid_19 #COVID https://t.co/hkfmZl5VK7,"Atlanta, GA",,0,1,"['Israeli', 'Pfizer', 'Covid_19', 'COVID']",1398,False
13,2021-09-11 22:24:24+00:00,1436817932991012864,Making #Idaho the place where our children and grandchildren die from #Covid. @IdahoGOP Shame on you. https://t.co/fWD4VIGsNX,Philadelphia PA for now!,,0,1,"['Idaho', 'Covid']",1343,False
14,2021-09-11 22:24:05+00:00,1436817854356152322,"Apparently protests at hospitals are being planned for Monday, 9/13. This cannot be tolerated! Hospitals are NOT APPROPRIATE FOR PROTESTING!! #COVID #protest #DeltaVariant #GetVaccinated #HospitalsAreSacred https://t.co/z6xs12se0A","Austin, TX",,0,0,"['COVID', 'protest', 'DeltaVariant', 'GetVaccinated', 'HospitalsAreSacred']",69,False
15,2021-09-11 22:06:34+00:00,1436813442598440960,"America is not First, The Pandemic Is https://t.co/PUYmorhIsh #COVID #America #Biden #BreakingNews #Congress #delta #EndThePandemic #DeltaPlusVariant #NewYork #Unemployment #humanity @RepAOC @IlhanMN @POTUS @SpeakerPelosi @GovKathyHochul @SenSchumer @SenSanders","Manhattan, NY",,0,0,"['COVID', 'America', 'Biden', 'BreakingNews', 'Congress', 'delta', 'EndThePandemic', 'DeltaPlusVariant', 'NewYork', 'Unemployment', 'humanity']",1957,False
16,2021-09-11 21:39:57+00:00,1436806747201617921,For non-math people: This site puts covid deaths into comparison with other deaths using simple graphs. https://t.co/qgmwKWMcJI #COVID #covid19 #VaccineMandates #VaccinesWork,"Bardmoor, FL",,0,0,"['COVID', 'covid19', 'VaccineMandates', 'VaccinesWork']",9079,False
17,2021-09-11 21:24:31+00:00,1436802861958979584,@daedree @MrTAchilles This should be read by everyone. I think perhaps we should open the #Covid wards to the non-believers - here’s what your loved one’s last moments are really like - so they can see for themselves that it’s real and it’s terrible.,"Ventura, California, USA",,1,7,['Covid'],1822,False
18,2021-09-11 21:08:42+00:00,1436798883401801734,"The fact that all states reaped in millions with the #COVID relief bills passed in congress and yet, not a single state when given the option, offered to extend #UBI for their people, at the very least to get through this winter, is disgusting. 

#Unemployment #DeltaVariant","Boston, MA",,1,6,"['COVID', 'UBI', 'Unemployment', 'DeltaVariant']",754,False
19,2021-09-11 19:54:47+00:00,1436780280682065927,What if you could get through covid in 3days ? #Covid_19 #covid #usa #rtItBot #peruapproved https://t.co/Z79vXW7h8r,,,1,1,"['Covid_19', 'covid', 'usa', 'rtItBot', 'peruapproved']",271,False
20,2021-09-11 19:51:15+00:00,1436779388876509190,"@timbergo1 @justinamash True, but all of the vaccines make it less likely that people will get seriously ill from #COVID or a variant.","Missouri, USA",,0,0,['COVID'],15275,False
21,2021-09-11 19:36:38+00:00,1436775711574986753,@deesnider We are living that disaster now Dee. We see 9/11 numbers of  #COVID deaths daily. The 🇺🇸 should be united and rallying around beating it. You know how that's going #COVIDIOTS,Bethlehem,,0,0,"['COVID', 'COVIDIOTS']",508,False
