,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2020-11-05 18:06:39+00:00,1324412827784761345,@globaltimesnews #ChineseVirus #Covid gift of China to the world!,India,,0,2,"['ChineseVirus', 'Covid']",438,False
1,2020-11-05 17:46:55+00:00,1324407863557517312,"A study on 60 hospitalized patients in Pune, India found that a single shot of the BCG could resolve breathlessness &amp; prevent severity in mod ill #Covid patients. Improvement in O2 requirement seen from 3rd day &amp; faster resolution of pneumonia in BCG group https://t.co/RjStLyHb30 https://t.co/UJzhRsumBs","Bijnor,  Uttar Pradesh, India",,4,13,['Covid'],2690,False
2,2020-11-05 17:37:01+00:00,1324405370790531078,"Me and my brother at restaurant.
Pc || my mother
#me #hari #bro #brother #brothers #love #food #restuarant #eat #eathealthy #eatclean #bike #travel #covid_19 #covid #tongue #earphones #camera #phone @ Avadi https://t.co/OqETtii8w4","Chennai, India ",,1,1,"['me', 'hari', 'bro', 'brother', 'brothers', 'love', 'food', 'restuarant', 'eat', 'eathealthy', 'eatclean', 'bike', 'travel', 'covid_19', 'covid', 'tongue', 'earphones', 'camera', 'phone']",7,False
3,2020-11-05 16:45:07+00:00,1324392308427554818,"@vipintukur Is it scientists far away from what is happening inside the body. 
#COVID19 #COVID__19 #Covid","Warangal,Telangana   ",,0,1,"['COVID19', 'COVID__19', 'Covid']",1363,False
4,2020-11-05 16:36:18+00:00,1324390090232066048,"Kinda sad that my plan to attend #TIFFCOMM this year couldn’t come to fruition due to #Covid. My goodness, I planned for business and wasn’t expecting the crazy amount of Sentai reunions.","Bedok, Singapore",,0,1,"['TIFFCOMM', 'Covid']",771,False
5,2020-11-05 16:00:50+00:00,1324381164505718784,#Plasma required #Covid #Delhi https://t.co/ebaZyZJIoF,Delhi / London,,0,1,"['Plasma', 'Covid', 'Delhi']",388,False
6,2020-11-05 14:28:31+00:00,1324357933203816451,"@iCanSaveLife Urgent requirement of plasma of a cured covid person, blood group O Negative. Please contact on 9765807466 fast. It's an emergency. Urgently needed in Kolkata. Please spread word #Covid #Kolkata @BloodDonorsIn","Hyderabad, India",,2,1,"['Covid', 'Kolkata']",525,False
7,2020-11-05 14:04:06+00:00,1324351789227913222,"Mask is as important to prevent corona as KhaanaShah is to prevent foodwaste at events.

#KhaanaShah #foodwaste #Covid_19 #COVID19 #coronavirus #India #MaskUp #mask #WearAMask #ThursdayMotivation #ThursdayThoughts #thursdaymorning #thursdayvibes #Indore #COVID #foodsecurity #food",Indore,,0,4,"['KhaanaShah', 'foodwaste', 'Covid_19', 'COVID19', 'coronavirus', 'India', 'MaskUp', 'mask', 'WearAMask', 'ThursdayMotivation', 'ThursdayThoughts', 'thursdaymorning', 'thursdayvibes', 'Indore', 'COVID', 'foodsecurity', 'food']",11,False
8,2020-11-05 13:59:31+00:00,1324350636809363457,"#COVID-19 - UGC releases guidelines for reopening of universities and colleges
@News18MP @News18CG","Hyderabad, India",,0,0,['COVID'],572,False
9,2020-11-05 13:57:13+00:00,1324350056355430400,"And the unopposed clear winner is

#election #vote #politics #trump #news #usa #elections #democrat #biden #congress #maga #donaldtrump #india #democrats #america #joebiden #covid #republican #bhfyp #bjp #narendramodi #voteblue #conservative #memes #voting #democracy #USElections https://t.co/xasQyoqTUs","Mumbai, India",,1,1,"['election', 'vote', 'politics', 'trump', 'news', 'usa', 'elections', 'democrat', 'biden', 'congress', 'maga', 'donaldtrump', 'india', 'democrats', 'america', 'joebiden', 'covid', 'republican', 'bhfyp', 'bjp', 'narendramodi', 'voteblue', 'conservative', 'memes', 'voting', 'democracy', 'USElections']",30,False
