,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2021-04-25 23:54:29+00:00,1386468687188688903,"It's high time and in this tough time, together we can stop the spread and stay healthy.

Let's beat it.

#cosko #coskoservice #covid_19 #covidindia #covid #virus #corona #coronaviruspandemic #coronavírus #tough #toughtimes #toughtime #covıd #india #karnataka https://t.co/anPUJreAMj",,,0,0,"['cosko', 'coskoservice', 'covid_19', 'covidindia', 'covid', 'virus', 'corona', 'coronaviruspandemic', 'coronavírus', 'tough', 'toughtimes', 'toughtime', 'covıd', 'india', 'karnataka']",5,False
1,2021-04-25 23:48:47+00:00,1386467253311315969,"@balajibhaskar2 @iamHarunKanth Bad news is more believable than good. We are forgetting approx 97% people are recovering from #Covid.

Please don't panic if you or your family members report is positive, problem can be solved provided one gets the medical help at an early stage &amp; follow doctors instructions.","Coimbatore, India",,0,3,['Covid'],1275,False
2,2021-04-25 23:48:28+00:00,1386467173346934786,"Bad news is more believable than good. We are forgetting approx 97% people are recovering from #Covid.

Please don't panic if you or your family members report is positive, problem can be solved provided one gets the medical help at an early stage &amp; follow doctors instructions.","Coimbatore, India",,1,4,['Covid'],1275,False
3,2021-04-25 22:25:28+00:00,1386446287227146240,Prominent #UAE buildings light up in solidarity with #India as the country fights through a surge of #Covid cases https://t.co/lTwuDWUiuA,India,,0,3,"['UAE', 'India', 'Covid']",200,False
4,2021-04-25 20:00:29+00:00,1386409799290474496,In the midst of this #COVID crisis. Do #prayforLunglei https://t.co/ruVrxLdq6U,Wherever Football Takes Me,,0,0,"['COVID', 'prayforLunglei']",857,False
5,2021-04-25 19:30:23+00:00,1386402224494944258,"@mrsahoo @CMO_Odisha @HFWOdisha @bmcbbsr @KIMSBBSR @TOIBhubaneswar @PIBBhubaneswar @COVIDNewsByMIB @otvnews @ZeeOdisha @Sambad_English @prameyaodia @NEWS7Odia @kanak_news @ArgusNews_in @MoSarkar5T Very pathetic situation, no docs of regn, bed info after 3hrs following 50 or more calls, no info abt patient health and treatment status even after 100 calls,this is really creating panic for the family members &amp; raising question about #Covid management of @HFWOdisha @nabadasjsg","Puri, India",,0,1,['Covid'],451,False
6,2021-04-25 19:15:13+00:00,1386398407531450371,"We’ve created a website! 

Our team is working round-the-clock to get you the verified information related to availability of Plasma, Medicines, Tiffin Services and much more at one place. 

Link - https://t.co/SDTf2B1AfW 

AMPLIFY! 

#CovidResources #COVID19India #indore #covid https://t.co/BlQ5ddASSh","Minnesota, USA",,17,24,"['CovidResources', 'COVID19India', 'indore', 'covid']",506,False
7,2021-04-25 19:14:09+00:00,1386398142698954753,How world media reports India's #Covid Situation. Watch this conversation @FareedZakaria https://t.co/xqkviMwE8I,"New Delhi, India",,0,0,['Covid'],339,False
8,2021-04-25 19:09:26+00:00,1386396952330264577,"Website For All #Covid Resources/Requirements In Any City

https://t.co/lcEmm3VRh7

Hope This Is Helpful. 

#COVID19Pandemic #CovidHelp #COVID19India #COVIDEmergency2021","Mumbai, India",,2,5,"['Covid', 'COVID19Pandemic', 'CovidHelp', 'COVID19India', 'COVIDEmergency2021']",13869,False
9,2021-04-25 19:07:17+00:00,1386396412611416066,"Just close your eyes and imagine you got #covid or your loved one is short fall of #OxygenCylinders You may be ignorant,you may skip this tweet but what if it will hit you?soTakeprecautions avoid things.Becouse our system is not gonna change. It will cost you your life #StaySafe","Chikmagalur, India",,0,0,"['covid', 'OxygenCylinders', 'StaySafe']",16,False
10,2021-04-25 19:01:25+00:00,1386394935927009284,#Thankyouuae #coronavirus #Covid #StayStrongIndia #jadeja #Oscars #SuperOver #SRHvsDC #CSKvsRCB #RavindraJadeja #RCBvsCSK #sundayvibes  Thank you UAE https://t.co/8dvwPwjgUI,भारत,,0,1,"['Thankyouuae', 'coronavirus', 'Covid', 'StayStrongIndia', 'jadeja', 'Oscars', 'SuperOver', 'SRHvsDC', 'CSKvsRCB', 'RavindraJadeja', 'RCBvsCSK', 'sundayvibes']",59,False
11,2021-04-25 19:00:33+00:00,1386394717496102916,"This is really harassing when a #Covid patient of 85 yrs age information is not given to the family member,no document of regn,no communication to family members regarding treatment, this is really strange @CMO_Odisha @HFWOdisha regarding your #Covid management @bmcbbsr @KIMSBBSR https://t.co/oPwXJrd6xy","Puri, India",,2,9,"['Covid', 'Covid']",451,False
12,2021-04-25 18:56:02+00:00,1386393582043426816,"Amid this #Covid pandemic we forgot that there is no rain in #bangladesh since last october, is a draught happening soon?","Comilla, Bangladesh",,0,0,"['Covid', 'bangladesh']",242,False
13,2021-04-25 18:51:27+00:00,1386392427129315329,"#FreeVaccinationForAll @baps will be organising free #Covid vaccination camp with the help of Petlad Urban Health Centre, Petlad, Anand on May 2, 2021. 

#COVID19India #CovidHelp #VaccinesWork #FREEVACCINATION #Anand #BAPS https://t.co/eJWvDxqG82","Ahmadabad, Ex- Anand ",,2,2,"['FreeVaccinationForAll', 'Covid', 'COVID19India', 'CovidHelp', 'VaccinesWork', 'FREEVACCINATION', 'Anand', 'BAPS']",822,False
14,2021-04-25 18:42:15+00:00,1386390115115696130,"#Bengaluru reported 20733 new #COVID19 cases and 77 #covid deaths on Saturday (24-04-2021, 00:00 to 23:59)","Bengaluru South, India",,0,0,"['Bengaluru', 'COVID19', 'covid']",162,False
15,2021-04-25 18:41:50+00:00,1386390008899112960,"I wonder what happened to those Oxygen plants.
@himantabiswa #CoronavirusIndia #Covid #OxygenCylinders #OxygenPlant #PMCares #OxygenShortage https://t.co/QqWsdHRqjL","Mumbai, India",,0,2,"['CoronavirusIndia', 'Covid', 'OxygenCylinders', 'OxygenPlant', 'PMCares', 'OxygenShortage']",251,False
