,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2021-08-08 17:37:44+00:00,1424424601317150721,"Get your Covid vaccination certificate within seconds on your WhatsApp
#LargestVaccinationDrive #COVID #coronavirus #DeltaPlusVariant #GetVaccinatedNow #VaccineCertificate https://t.co/GF821h7e52",India,,0,0,"['LargestVaccinationDrive', 'COVID', 'coronavirus', 'DeltaPlusVariant', 'GetVaccinatedNow', 'VaccineCertificate']",1866,False
1,2021-08-08 17:07:16+00:00,1424416936264232960,"Covid-19 vaccines are extremely effective at preventing serious illness &amp; deaths.
Based on scientific trials from around the world, expert say that covid 19 vaccines that have reported results have shown to be close to 100%.
#pandemic
#vaccination
#covid
@06_rajput
@HamzaUrooj https://t.co/s142wYDPCQ","हापुर, भारत",,0,3,"['pandemic', 'vaccination', 'covid']",17,False
2,2021-08-08 16:11:16+00:00,1424402841012117504,"Help ❤️

#charity #nonprofit #donate #love #community #covid #fundraising #support #help #volunteer #giveback #donation #fundraiser #education #ngo #dogood #hope #socialgood #children #instagood #donations #philanthropy #change #givingback #family #life #makeadifference #bhfyp https://t.co/R2l2JK8T78",,,2,4,"['charity', 'nonprofit', 'donate', 'love', 'community', 'covid', 'fundraising', 'support', 'help', 'volunteer', 'giveback', 'donation', 'fundraiser', 'education', 'ngo', 'dogood', 'hope', 'socialgood', 'children', 'instagood', 'donations', 'philanthropy', 'change', 'givingback', 'family', 'life', 'makeadifference', 'bhfyp']",14,False
3,2021-08-08 15:35:00+00:00,1424393714118520842,"Media Release – 2021.08.08
Covid death figures reported today 08.08.2021
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #Coronavirus #Covid #Corona #Staysafe #Socialdistancing #Virus #Coronav #Pandemic https://t.co/rzXqWrlQoL",Sri Lanka,,4,1,"['Srilankan', 'Srilanka', 'lka', 'Lanka', 'Ceylon', 'DGI', 'Government', 'Information', 'Department', 'News', 'infodprtsl', 'Coronavirus', 'Covid', 'Corona', 'Staysafe', 'Socialdistancing', 'Virus', 'Coronav', 'Pandemic']",16,False
4,2021-08-08 15:00:44+00:00,1424385090440744971,"#Karnataka #Covid_19 
Just ONE #Covid death in Bengaluru  out of 20 deaths in Karnataka on Saturday. Dakshina Kannada tops with 6 death. State had 1598 new #COVID19 cases while B'lor had 348 Tsts 146446 Dch.1914  +vty rate: 1.09 % @ChitraSundaram7 @dr_asr @sun_usind @scooban","Bengaluru, India",,11,17,"['Karnataka', 'Covid_19', 'Covid', 'COVID19']",4162,True
5,2021-08-08 14:35:18+00:00,1424378693825171468,"Haven’t got your #COVID vaccination yet? 
Register on #cowin app and go through these tips the morning of the jab :)

https://t.co/9wkvGh2DPd",delhi,,0,1,"['COVID', 'cowin']",2592,False
6,2021-08-08 12:13:57+00:00,1424343120406212621,"Flight/passenger movement at #AAI #Imphal Airport on 08.08.2021

Total 24 #flight movements:
No. of #arrivals-12
No. of #departures-12
No. of ARR pax-1023
No. of DEP pax-1087
All #covid protocols &amp; safety precautions are in place during flight operations.@aairedner @AAI_Official https://t.co/sabhpr8RCf","Imphal, India",,2,4,"['AAI', 'Imphal', 'flight', 'arrivals', 'departures', 'covid']",692,True
7,2021-08-08 11:20:40+00:00,1424329710352289793,"#NewsYouCanUse: Get Your #Covid Vaccination Certificate Instantly…
Add the number +91 90131 51515 to your contacts…

Open WhatsApp, Just Type Covid Certificate and send message. You will receive an OTP.
Enter OTP and you will get your Covid certificate immediately... https://t.co/u6TYQzblV6",India,,0,0,"['NewsYouCanUse', 'Covid']",1294,False
8,2021-08-08 11:02:27+00:00,1424325127982895104,"HCM @vijayanpinarayi Sir, #Kerala has highest literary rate. Yet becoming breeding ground for introducing all #Covid variants in India &amp; at highest rate. Surely you are bothered &amp; initiating action. Respectfully submit please take bold corrective steps to arrest. @CMOKerala","#Kolkata,#Assam",,0,0,"['Kerala', 'Covid']",984,False
9,2021-08-08 10:52:43+00:00,1424322678471548936,"#US with over 50 % fully innocuoated has over 1,00,000 #COVID cases per day. Also on risk are #Children. @MoHFW_INDIA @mansukhmandviya Submit, #India needs to gear up on #vaccine. #CovidProtocols need to mandated &amp; compulsory even for vaccinated. https://t.co/uyhnTA1YmH","#Kolkata,#Assam",,1,1,"['US', 'COVID', 'Children', 'India', 'vaccine', 'CovidProtocols']",984,False
