,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2021-05-25 18:45:51+00:00,1397262655434289153,"A Small Gesture of Meal from us to Real Heroes of #Pune City 
Thankyou for your Selfless Service towards #Punekars 
@PuneCityTraffic @PuneCityPolice  @CPPuneCity 

#Pune #Covid #BJYMCares @Dev_Fadnavis @mohol_murlidhar @jagdishmulikbjp @ivikrantpatil https://t.co/T82gtTdEEB",Pune,,1,1,"['Pune', 'Punekars', 'Pune', 'Covid', 'BJYMCares']",138,False
1,2021-05-25 18:00:40+00:00,1397251283770220548,"There’s no #COVID rules for farmers ? Thousands of people are planning to protest on May 26  to mark 6 months of stir , what will happen when they Go back to rural India with corona ?And 12 political parties are supporting this event. This is like a super spreader event #Pandemic",India,,0,0,"['COVID', 'Pandemic']",385,False
2,2021-05-25 17:46:00+00:00,1397247594535997446,Asaram and ramdev are very dearest and nearest to our actor PM. And rest is the history #covid #unemployment #FarmerProtest #demonstration #petrol #gas #lockdown and our great media(godi) making him Tagor by his beard and amitshah compared to the great sardar patel. Which angle? https://t.co/XwwrUedB0D,"Junagarh, India",,0,0,"['covid', 'unemployment', 'FarmerProtest', 'demonstration', 'petrol', 'gas', 'lockdown']",12,False
3,2021-05-25 17:36:57+00:00,1397245315292540937,@MunCorpGurugram @MoHUA_India @mygovindia @swachhbharat @cmohry @SwachSurvekshan @SwachhBharatGov @COVIDNewsByMIB #Biohazard waste #Covid-19 of city should be treated with scientific technology to stop spread of Infections @Amc_Gujarat @GujHFWDept #swachhbharat,"यहां, वहा.. हर जगहा ..",,0,0,"['Biohazard', 'Covid', 'swachhbharat']",303,False
4,2021-05-25 17:29:49+00:00,1397243522412158981,"@Twitter saved lives in India by enabling people to connect and help each other in this #covid pandemic. 
Without it many people couldn't have received life saving support in time. Can't imagine any other platform as powerful as this in this regard.","UCMS & GTB Hospital,  Delhi",,0,0,['covid'],630,False
5,2021-05-25 17:24:05+00:00,1397242077700841472,#TATAGROUP #TataConsumer #tataproducts Support tata group... I promise to use tata products after I got to know there decisions to support their staff families who lost her/his life due to #COVID #realgemratantata @TataSteelLtd @TataCompanies @TataConsumer,"Noida, India",,0,0,"['TATAGROUP', 'TataConsumer', 'tataproducts', 'COVID', 'realgemratantata']",56,False
6,2021-05-25 16:49:07+00:00,1397233276713062403,"3821 new #Covid cases &amp; 23 #deaths reported in past 24 hours in #Telangana State , 537 new cases in #ghmc limits &amp; 3284 cases reported other districts. #Telangana

#TelanganaFightsCorona",,,1,0,"['Covid', 'deaths', 'Telangana', 'ghmc', 'Telangana', 'TelanganaFightsCorona']",47,False
7,2021-05-25 16:37:47+00:00,1397230426524106753,"Delhi Street
#delhi #asia #vendor #coronavirus #Covid-19 #economy https://t.co/yt5St4kkLA",NEW DELHI,,0,6,"['delhi', 'asia', 'vendor', 'coronavirus', 'Covid', 'economy']",1077,False
8,2021-05-25 16:19:50+00:00,1397225907090296835,"Opposition is supporting #covid ‘super spreader’ farmer protests 🪧 going on....

They are preparing for the 3rd wave by making sure that Covid goes 🆙 so that they can blame Modi Ji!

#Shameful #Opposition https://t.co/AhewELtKYf",New Delhi /India,,3,11,"['covid', 'Shameful', 'Opposition']",24421,True
9,2021-05-25 14:43:12+00:00,1397201589702733828,"#Unite2FightCorona

The daily new #covid cases have been on a decline for more than a week. We thank you all for following #COVIDAppropriateBehaviour and request you to educate others around you on the same!

#IndiaFightsCorona https://t.co/p7B8cK65IE","Chandigarh, India",,0,0,"['Unite2FightCorona', 'covid', 'COVIDAppropriateBehaviour', 'IndiaFightsCorona']",9749,True
10,2021-05-25 14:34:15+00:00,1397199337898364936,"#Karnataka #covid: No let up in death figs. State had 22758 new cases and 588 deaths on Mon. B'luru had 6243 cases with 350 deaths. Tsts 107675 +vity rat: 21.13% Recoveries 38224
@ChitraSundaram7 @scooban @Amit_A_Tiwari @dr_asr @SunithaNahar @sun_usind 
@airavatvolvo @sandeepohri","Bengaluru, India",,7,9,"['Karnataka', 'covid']",4160,True
11,2021-05-25 14:29:05+00:00,1397198038377054212,"3821 new #Covid cases &amp; 23 #deaths reported in past 24 hours in #Telangana State , 537 new cases in #ghmc limits &amp; 3284 cases reported other districts. #Telangana

#TelanganaFightsCorona https://t.co/Koy6ZfvYG9","Hyderabad, India",,0,1,"['Covid', 'deaths', 'Telangana', 'ghmc', 'Telangana', 'TelanganaFightsCorona']",447,False
12,2021-05-25 14:26:49+00:00,1397197466445955074,"United in the fight against #COVID

Gifting of Hand Sanitizer Machine to Dharmarajika Buddhist Monastery, Bangladesh Bouddha Kristi Prachar Sangha in Dhaka by @ihcdhaka today on the occasion of Buddha Purnima 2021 https://t.co/34F9WxCUqV","High Commission of India,Dhaka",,19,91,['COVID'],71955,True
13,2021-05-25 14:19:40+00:00,1397195666187763727,"Highly irresponsible /illiterate people.When country is dealing with devastating wave of corona, and people are dying, in such time these  #COVIDIOTS should be booked under pandemic act + criminal offence. #pandemic #COVID #SecondWave @maduraipolice @HardeepSPuri https://t.co/2b7mL8RSwR",India,,0,1,"['COVIDIOTS', 'pandemic', 'COVID', 'SecondWave']",568,False
14,2021-05-25 13:47:34+00:00,1397187590499995648,"If you have ‘verified’ bills where hospitals charged a huge amount for #Covid treatment, I would request you to share them with @KaramKomi in PDF format please? https://t.co/6yTp98JsZv","Hyderabad, India",,2,6,['Covid'],4415,False
15,2021-05-25 13:42:20+00:00,1397186272104419333,"This is BLW vaccination centre, varanasi. No social distancing were being followed. The government simply couldn't handle a vaccine centre and they want to conduct boards. 
@myogiadityanath 
@DrRPNishank 
@cbseindia29 #cancelboardexams 
#COVID @CMOfficeUP #CovidVaccines @PMOIndia https://t.co/c1UQn8mvy4",India,,1,4,"['cancelboardexams', 'COVID', 'CovidVaccines']",5,False
16,2021-05-25 13:12:03+00:00,1397178652576522245,"Live
Alhumdulilah #24th day of @KhidmatEMillat team distribute free food package to #Covid patients attenders at QP Hospital, Gulbarga, under the leadership of @Wahaj_Baba.

#COVIDEmergencyIndia #CovidIndia #Covid_19 
@Kalaburgivarthe @kishorebabu2013 https://t.co/X1hzX3OvTY","Gulbarga, Karnatak, India",,1,5,"['24th', 'Covid', 'COVIDEmergencyIndia', 'CovidIndia', 'Covid_19']",8170,False
17,2021-05-25 13:06:59+00:00,1397177376182738951,"Best opportunity if you join and invest this ICO you get good profit, don't miss, visit now#NEBULAPROTOCOL #COVID#BTC #CRYPTO","Dhaka, Bangladesh ",,1,1,['CRYPTO'],3331,False
