,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2021-08-17 17:34:36+00:00,1427685304882843650,"It’s all Zoom and gloom right now!!!
•
•
•
•
•
Maskup😷
#mask #maskupindia #covid #besafeeveryone #safe @ ನಮ್ಮ ತುಮಕೂರು https://t.co/hTsV2DMKR8","Karnataka, India",,0,1,"['mask', 'maskupindia', 'covid', 'besafeeveryone', 'safe']",64,False
1,2021-08-17 17:03:28+00:00,1427677471181197314,"Dj night classes at @ILM_Academy with @MANISHXFADER . 

Give us a holler if you #wannabeaDJ
Private 1 on 1 #djtraining with all #COVID protocols in place! 

We take our health and safety as seriously as we take #MUSIC! https://t.co/tgfqFwopVY","Delhi, India",,2,5,"['wannabeaDJ', 'djtraining', 'COVID', 'MUSIC']",983,False
2,2021-08-17 15:20:08+00:00,1427651465812668416,"@ajayacharya @smileandshine20 @BoveriandaA Sir, I get inferiority complex, because I'm a fool and you are intellectual...😑 
Even @smileandshine20 doesn't like to meet me... 😢
Let's get rid of #covid then we can meet, I'm not vaccinated, yet. I don't want to infect you people.","Bengaluru South, India",,0,0,['covid'],6201,False
3,2021-08-17 15:13:28+00:00,1427649786409279498,"Flight/passengers movement @aailbrairport #Lilabari #Airport on 17.08.2021

flight movement:
No. of #arrivals-01
No. of #departures-01
No. of ARR pax-16
No. of DEP pax-19
All #covid protocols &amp; safety precautions are being followed.@aairedner @AAI_Official","Lilabari , North Lakhimpur",,1,4,"['Lilabari', 'Airport', 'arrivals', 'departures', 'covid']",1534,True
4,2021-08-17 14:40:47+00:00,1427641563765673992,"Healthy signs, but need to remain vigilant #Covid #VaccinationDrive https://t.co/2N37ATwBTI",Noida,,0,0,"['Covid', 'VaccinationDrive']",7379,False
5,2021-08-17 14:37:28+00:00,1427640728931508241,Vaccinate to keep #DeltaVariant #Covid away https://t.co/uKDkvKpDEp,Noida,,1,1,"['DeltaVariant', 'Covid']",7379,False
6,2021-08-17 14:34:12+00:00,1427639907565117440,"Deal with your problems before they deal with your happiness...🤗
.
.
.
.
.
#twitter #love #follow #instagood #like #music #socialmedia #WhatsApp #google #photography #followforfollowback #likeforlikes #india #marketing #covid #fashion #followers #insta #snapchat #trending #bhfyp https://t.co/etxJW7AXvn",pune,,1,3,"['twitter', 'love', 'follow', 'instagood', 'like', 'music', 'socialmedia', 'WhatsApp', 'google', 'photography', 'followforfollowback', 'likeforlikes', 'india', 'marketing', 'covid', 'fashion', 'followers', 'insta', 'snapchat', 'trending', 'bhfyp']",46,False
7,2021-08-17 14:31:19+00:00,1427639181472370700,"Deal with your problems before they deal with your happiness.🤗
.
.
.
.
#Twitter #love #follow #instagood #like #music #socialmedia #google #photography #memes #followforfollowback #likeforlikes #india #marketing #covid #fashion #followers #insta #snapchat #trending #bhfyp https://t.co/lWP83rBoFy","Pune, India",,1,2,"['Twitter', 'love', 'follow', 'instagood', 'like', 'music', 'socialmedia', 'google', 'photography', 'memes', 'followforfollowback', 'likeforlikes', 'india', 'marketing', 'covid', 'fashion', 'followers', 'insta', 'snapchat', 'trending', 'bhfyp']",53,False
8,2021-08-17 14:26:25+00:00,1427637947000578061,"Pfizer CEO @AlbertBourla is a greedy #COVID profiteer! #Pfizer will make over $33 billion in vaccine sales this year, while most low-income countries can’t get vaccines. PROTEST WITH US TOMORROW (8/17) 12 noon EDT, ONLINE or IN-PERSON at #Pfizer HQ, if you're in NYC! https://t.co/hagpatae41",Nepal,,6,7,"['COVID', 'Pfizer', 'Pfizer']",15,False
9,2021-08-17 14:21:31+00:00,1427636715418800133,"@abccare @abcapital  @abfinance  @Srinivasan_Ajay  I can see the verbatim on your reply everytime I tweet... It's more been than 2 months scammers where is my money?

@Srinivasan_Ajay  Shameless CEO

#scam #ripoff #COVID19  #COVID",Mumbai,,0,0,"['scam', 'ripoff', 'COVID19', 'COVID']",76,False
