,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2020-03-23 23:50:47+00:00,1242237386983116800,"#karachi after #lockdown 

#QuarantineLife #LockDownPakisan #Karachilockdown #COVID #CoronaVirusUpdates #COVIDー19 #COVID19 #CoronavirusInSA #COVIDIDIOTS #coronaviruskenya #كوفيد_19 #عمان_تواجه_كورونا https://t.co/79FAYfzEKg","Karachi,Pakistan",,0,2,"['karachi', 'lockdown', 'QuarantineLife', 'LockDownPakisan', 'Karachilockdown', 'COVID', 'CoronaVirusUpdates', 'COVIDー19', 'COVID19', 'CoronavirusInSA', 'COVIDIDIOTS', 'coronaviruskenya', 'كوفيد_19', 'عمان_تواجه_كورونا']",130,False
1,2020-03-23 23:29:05+00:00,1242231927630893063,"A #vigilant Brazilian mother #welcomes her son #home after he had to go out to buy #groceries for the #house

@ggreenwald #Brazil #Brazilian #COVID #COVIDー19 #INNA #Mother #Son #mksw85official #StayAtHomeSaveLives #LockdownNow #StayHome #lifestyle #Social_Distancing #staysafe https://t.co/WhqnUPtAJC","Karachi, Pakistan🇵🇰",,0,3,"['vigilant', 'welcomes', 'home', 'groceries', 'house', 'Brazil', 'Brazilian', 'COVID', 'COVIDー19', 'INNA', 'Mother', 'Son', 'mksw85official', 'StayAtHomeSaveLives', 'LockdownNow', 'StayHome', 'lifestyle', 'Social_Distancing', 'staysafe']",1334,False
2,2020-03-23 22:57:40+00:00,1242224019161710598,@thepeeinghuman There you go! #GoCoronaGo #LockdownNow #COVIDー19 #COVIDIOTS #COVID2019india #covidindia #covid https://t.co/vesscGEDfr,"New Delhi, India",,0,0,"['GoCoronaGo', 'LockdownNow', 'COVIDー19', 'COVIDIOTS', 'COVID2019india', 'covidindia', 'covid']",75,False
3,2020-03-23 22:54:28+00:00,1242223213872066561,"#German #Chancellor #AngelaMerkel’s initial test for #coronavirus came back negative. Merkel, 65, went into #quarantine on Sunday after coming into contact with an #infected doctor.

@Queen_Europe @mksw85official #Chloroquine #COVIDIOT #COVID #COVID_19 #germanycoronavirus #INNA https://t.co/TLF1Sz6wLn","Karachi, Pakistan🇵🇰",,0,1,"['German', 'Chancellor', 'AngelaMerkel', 'coronavirus', 'quarantine', 'infected', 'Chloroquine', 'COVIDIOT', 'COVID', 'COVID_19', 'germanycoronavirus', 'INNA']",1334,False
4,2020-03-23 21:44:10+00:00,1242205522755026944,"Makkah &amp; Madina: Cities that never slept were shut down today after the curfew across #SaudiArabia

#CoronavirusPandemic #COVID https://t.co/So53aIvP2l","Karachi, Pakistan",,5,18,"['SaudiArabia', 'CoronavirusPandemic', 'COVID']",33556,True
5,2020-03-23 21:30:13+00:00,1242202011178852353,Please Guys understand the seriousness . There are lots and lots of people working hard to save your lives .Please don’t increase their burden . 🇮🇳 🙏🏻🙏🏻 #StayAtHomeSaveLives #LockdownNow #coronaupdatesindia #StayHome #COVID https://t.co/CXk6EIZQsO,"New Delhi, India",,0,1,"['StayAtHomeSaveLives', 'LockdownNow', 'coronaupdatesindia', 'StayHome', 'COVID']",17,False
6,2020-03-23 20:48:27+00:00,1242191502555709442,Quarantaine mn itna farigh hun soch raha hun FRIENDS series shuru kr dun #Netflix #CoronaVirusUpdates #COVID,"Karachi, Pakistan",,0,0,"['Netflix', 'CoronaVirusUpdates', 'COVID']",515,False
7,2020-03-23 20:45:53+00:00,1242190855831605248,"Let's discuss  fundamentals of chemistry: 

What is titration? 
How many types of titration are there?

#CoronaVirusUpdates #COVID","Karachi,Pakistan",,0,0,"['CoronaVirusUpdates', 'COVID']",130,False
8,2020-03-23 20:30:27+00:00,1242186972799447044,"Man i suppose they are CORONA resistant.
But really these people are fools becoz its ok if you wanna die, but dont try and catch #COVID &amp; help spread in other innocent public. I ask @PMOIndia isn't it a criminal offense, holding each other like that in a public gathering? https://t.co/h7LS1s8sST",#PU,,0,0,['COVID'],78,False
9,2020-03-23 20:26:03+00:00,1242185863251070976,"Dear @TelanganaCMO @TelanganaHealth @TelanganaToday @BJP4Telangana @INCTelangana @TelanganaToday 
@WarangalYSRCP
@Collector_WGLR
Can you please explain about your doctors complaining about your infra.
#CoronavirusPandemic #coronaupdatesindia 
#COVID https://t.co/UCRGxUbss3","New Delhi & Ahmedabad, India",,0,3,"['CoronavirusPandemic', 'coronaupdatesindia', 'COVID']",35682,True
10,2020-03-23 20:18:03+00:00,1242183853449424896,India led the world in eradicating 2 silent killers--Small pox &amp; Polio. India has tremendous capacity says WHO on #Covid. Answer in response to @JournoPranay https://t.co/laXp45OZB9,"New Delhi, India",,124,291,['Covid'],79430,False
